,result,truth
0,1,1
1,0,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,0,1
21,0,1
22,0,1
23,0,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,0,1
33,1,1
34,1,1
35,1,1
36,1,1
37,0,1
38,0,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,0,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,0,1
52,1,1
53,1,1
54,0,1
55,1,1
56,0,1
57,1,1
58,0,1
59,1,1
60,0,1
61,1,1
62,0,1
63,0,1
64,0,1
65,0,1
66,0,1
67,0,1
68,1,1
69,1,1
70,1,1
71,0,1
72,1,1
73,0,1
74,1,1
75,1,1
76,1,1
77,0,1
78,0,1
79,1,1
80,0,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,0,1
89,0,1
90,0,1
91,0,1
92,1,1
93,0,1
94,1,1
95,0,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,0,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,0,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,0,1
121,0,1
122,0,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,0,1
129,1,1
130,1,1
131,1,1
132,0,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,0,1
139,0,1
140,1,1
141,1,1
142,0,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,0,1
150,0,1
151,1,1
152,1,1
153,0,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,0,1
165,0,1
166,0,1
167,1,1
168,1,1
169,0,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,0,1
204,0,1
205,1,1
206,1,1
207,0,1
208,1,1
209,1,1
210,1,1
211,0,1
212,1,1
213,1,1
214,1,1
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,1,1
231,1,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
238,1,1
239,1,1
240,1,1
241,1,1
242,0,1
243,1,1
244,1,1
245,0,1
246,1,1
247,1,1
248,1,1
249,1,1
250,1,1
251,0,1
252,1,1
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,1,1
262,1,1
263,1,1
264,0,1
265,1,1
266,0,1
267,1,1
268,1,1
269,0,1
270,1,1
271,0,1
272,0,1
273,1,1
274,1,1
275,0,1
276,1,1
277,1,1
278,1,1
279,1,1
280,1,1
281,1,1
282,1,1
283,1,1
284,0,1
285,0,1
286,1,1
287,0,1
288,1,1
289,1,1
290,0,1
291,0,1
292,0,1
293,1,1
294,0,1
295,1,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,1,1
308,0,1
309,1,1
310,0,1
311,0,1
312,1,1
313,1,1
314,1,1
315,0,1
316,1,1
317,1,1
318,1,1
319,1,1
320,1,1
321,1,1
322,0,1
323,1,1
324,1,1
325,1,1
326,1,1
327,0,1
328,1,1
329,1,1
330,1,1
331,0,1
332,1,1
333,1,1
334,1,1
335,1,1
336,1,1
337,0,1
338,1,1
339,1,1
340,1,1
341,1,1
342,0,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,0,1
351,0,1
352,1,1
353,1,1
354,1,1
355,1,1
356,1,1
357,0,1
358,0,1
359,1,1
360,1,1
361,1,1
362,0,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,0,1
370,1,1
371,1,1
372,1,1
373,0,1
374,0,1
375,1,1
376,1,1
377,1,1
378,1,1
379,1,1
380,0,1
381,1,1
382,1,1
383,1,1
384,1,1
385,0,1
386,1,1
387,1,1
388,1,1
389,1,1
390,0,1
391,1,1
392,1,1
393,1,1
394,1,1
395,0,1
396,1,1
397,1,1
398,1,1
399,1,1
400,1,1
401,1,1
402,0,1
403,1,1
404,1,1
405,1,1
406,0,1
407,0,1
408,1,1
409,1,1
410,1,1
411,1,1
412,0,1
413,1,1
414,1,1
415,1,1
416,1,1
417,1,1
418,1,1
419,1,1
420,1,1
421,1,1
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,1
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,0,1
442,1,1
443,0,1
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,1,1
451,1,1
452,1,1
453,1,1
454,0,1
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,1
466,1,1
467,1,1
468,1,1
469,0,1
470,1,1
471,1,1
472,1,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,1
479,1,1
480,1,1
481,1,1
482,1,1
483,1,1
484,0,1
485,1,1
486,1,1
487,0,1
488,1,1
489,0,1
490,0,1
491,1,1
492,1,1
493,1,1
494,1,1
495,1,1
496,1,1
497,1,1
498,1,1
499,0,1
500,0,0
501,0,0
502,1,0
503,1,0
504,0,0
505,1,0
506,1,0
507,1,0
508,1,0
509,1,0
510,1,0
511,1,0
512,1,0
513,0,0
514,0,0
515,1,0
516,1,0
517,0,0
518,0,0
519,1,0
520,0,0
521,1,0
522,1,0
523,1,0
524,0,0
525,0,0
526,1,0
527,0,0
528,1,0
529,1,0
530,1,0
531,0,0
532,1,0
533,1,0
534,0,0
535,1,0
536,1,0
537,1,0
538,1,0
539,1,0
540,0,0
541,0,0
542,1,0
543,1,0
544,0,0
545,0,0
546,1,0
547,1,0
548,0,0
549,0,0
550,1,0
551,0,0
552,1,0
553,0,0
554,1,0
555,0,0
556,1,0
557,0,0
558,0,0
559,1,0
560,0,0
561,0,0
562,0,0
563,0,0
564,1,0
565,1,0
566,0,0
567,1,0
568,1,0
569,1,0
570,0,0
571,1,0
572,1,0
573,1,0
574,1,0
575,1,0
576,0,0
577,1,0
578,1,0
579,1,0
580,1,0
581,0,0
582,0,0
583,1,0
584,0,0
585,1,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,1,0
592,1,0
593,0,0
594,1,0
595,1,0
596,1,0
597,0,0
598,1,0
599,0,0
600,1,0
601,0,0
602,1,0
603,1,0
604,0,0
605,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,1,0
616,0,0
617,0,0
618,0,0
619,1,0
620,0,0
621,1,0
622,0,0
623,0,0
624,0,0
625,0,0
626,1,0
627,1,0
628,0,0
629,1,0
630,0,0
631,0,0
632,1,0
633,1,0
634,1,0
635,1,0
636,1,0
637,1,0
638,0,0
639,0,0
640,0,0
641,1,0
643,1,0
645,1,0
646,0,0
647,0,0
648,0,0
649,1,0
650,0,0
651,1,0
652,1,0
653,1,0
654,1,0
655,1,0
656,1,0
657,1,0
658,1,0
659,1,0
660,0,0
661,0,0
662,0,0
663,1,0
664,0,0
665,1,0
666,1,0
667,0,0
668,0,0
669,1,0
670,1,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,1,0
683,0,0
684,1,0
685,1,0
686,0,0
687,1,0
688,1,0
689,1,0
690,0,0
691,1,0
692,1,0
693,0,0
694,0,0
695,1,0
696,1,0
697,1,0
698,0,0
699,1,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,1,0
717,0,0
718,1,0
719,1,0
720,1,0
721,0,0
722,1,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,1,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,1,0
738,0,0
739,1,0
740,0,0
741,1,0
742,1,0
743,1,0
744,1,0
745,1,0
746,1,0
747,1,0
748,1,0
749,1,0
750,1,0
751,1,0
752,1,0
753,0,0
754,1,0
755,0,0
756,0,0
757,1,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,1,0
764,1,0
765,0,0
766,0,0
767,1,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,1,0
777,1,0
778,1,0
779,1,0
780,0,0
781,1,0
782,1,0
783,0,0
784,1,0
785,0,0
786,0,0
787,1,0
788,0,0
789,0,0
790,1,0
791,1,0
792,1,0
793,0,0
794,1,0
795,1,0
796,1,0
797,1,0
798,1,0
799,1,0
800,0,0
801,0,0
802,0,0
803,1,0
804,1,0
805,1,0
806,0,0
807,0,0
808,0,0
809,0,0
810,1,0
811,0,0
812,0,0
813,1,0
814,0,0
815,1,0
816,1,0
817,0,0
818,0,0
819,0,0
820,0,0
821,1,0
822,1,0
823,1,0
824,0,0
825,0,0
826,1,0
827,0,0
828,0,0
829,0,0
830,1,0
831,0,0
832,0,0
833,1,0
834,0,0
835,1,0
836,0,0
837,0,0
838,1,0
839,0,0
840,1,0
841,1,0
842,0,0
843,0,0
844,1,0
845,0,0
846,0,0
847,1,0
848,0,0
849,0,0
850,1,0
851,0,0
852,1,0
853,1,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,1,0
863,1,0
864,0,0
865,0,0
866,1,0
867,0,0
868,1,0
869,0,0
870,1,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,1,0
879,0,0
880,1,0
881,0,0
882,0,0
883,0,0
884,1,0
885,1,0
886,0,0
887,0,0
888,1,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,1,0
897,0,0
898,0,0
899,1,0
900,0,0
901,1,0
902,1,0
903,0,0
904,0,0
905,0,0
906,1,0
907,0,0
908,1,0
909,1,0
910,1,0
911,1,0
912,1,0
913,1,0
914,0,0
915,0,0
916,1,0
917,1,0
918,0,0
919,0,0
920,1,0
921,0,0
922,0,0
923,1,0
924,0,0
925,0,0
926,0,0
927,0,0
928,1,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,1,0
935,1,0
936,0,0
937,1,0
938,0,0
939,1,0
940,1,0
941,0,0
942,1,0
943,0,0
944,0,0
945,0,0
946,1,0
947,1,0
948,0,0
949,0,0
950,1,0
951,1,0
952,0,0
953,0,0
954,1,0
955,0,0
956,0,0
957,0,0
958,1,0
959,0,0
960,0,0
961,0,0
962,1,0
963,1,0
964,0,0
965,0,0
966,0,0
967,0,0
968,1,0
969,1,0
970,0,0
971,1,0
972,1,0
973,0,0
974,1,0
975,0,0
976,1,0
977,1,0
978,1,0
979,1,0
980,1,0
981,0,0
982,1,0
983,1,0
984,1,0
985,0,0
986,0,0
987,0,0
988,1,0
989,0,0
990,1,0
991,0,0
992,0,0
993,0,0
994,0,0
995,1,0
996,0,0
997,1,0
998,1,0
999,0,0
